0,01141,Benih sorghum,
0,01142,Sorghum,
0,01151,Benih jelai/barli,
0,01152,Jelai/barli,
0,01161,Benih gandum hitam,
0,01162,Gandum hitam,
0,01171,Benih oat,
0,01172,Oat,
0,01181,Benih millet,
0,01182,Millet,
0,01190,Serealia lainnya,
0,01211,Asparagus,
0,01212,Kubis,
0,01213,Bunga kol dan brokoli,
0,01214,Selada dan chicory,
0,01215,Bayam,
0,01216,Artichokes,
0,01219,Sayuran yang diambil batang atau daunnya lainnya,
0,01221,Semangka,
0,01229,Cantaloupe dan melon lainnya,
0,01231,"Cabe dan paprika, hijau (jenis capsicum)",
0,01232,Timun dan ketimun acar,
0,01233,Terong,
0,01234,Tomat,
0,01235,"Waluh, laby dan labu",
0,01239,Buah yang digunakan untuk sayur lainnya,
0,01241,Kacang-kacangan hijau,
0,01242,"Kacang kapri, hijau",
0,01249,Sayuran polongan hijau lainnya,
0,01251,Wortel dan lobak cina,
0,01252,Bawang putih,
0,01253,Bawang bombay,
0,01254,Bawang bakung/perai dan sayuran sejenisnya,
0,01259,"Sayuran yang diambil akar, umbi dan bonggolnya, ytdl",
0,01260,"Biji sayuran, kecuali biji bit",
0,01270,Jamur dan cendawan tanah,
0,01290,"Sayuran segar, Ytdl",
0,01311,Alpukat,
0,01312,Pisang,
0,01313,Plantain dan lainnya,
0,01314,Kurma,
0,01315,Buah ara,
0,01316,Mangga,
0,01317,Pepaya,
0,01318,Nanas,
0,01319,Buah-buahan tropis dan subtropis lainnya,
0,01321,Jeruk pamelo dan grapefruit,
0,01322,Jeruk lemon dan limau,
0,01323,Orange,
0,01324,"Tangerin, mandarin, clementine",
0,01329,"Buah jeruk lainnya, Ytdl",
0,01330,Buah anggur segar,
0,01341,Currant dan gooseberry,
0,01342,Buah kiwi,
0,01343,"Buah rapsberries, blackberries, mulberries dan loganberries",
0,01344,Buah stroberi,
0,01349,"Berries lainnya, buah dari genus vaccinium, ytdl",
0,01351,Buah apel,
0,01352,Buah pear dan quince,
0,01353,Buah aprikot,
0,01354,Buah ceri,
0,01355,Buah persik dan nektarin,
0,01356,Plum dan sloe,
0,01359,"Buah pome dan buah batu lainnya, Ytdl",
0,01360,Biji buah,
0,01371,"Almond, berkulit",
0,01372,"Kacang mete, berkulit",
0,01373,"Chestnut, berkulit",
0,01374,"Hazelnut, berkulit",
0,01375,"Pistachio, berkulit",
0,01376,"Walnut, berkulit",
0,01377,"Kacang Brazil, berkulit",
0,01379,"Kacang lainnya (kecuali kacang yang tumbuh liar yang dapat dimakan dan kacang tanah), berkulit",
0,01391,Kacang locust (carobs),
0,01399,"Buah-buahan lainnya, Ytdl",
0,01411,Bibit kacang kedelai,
0,01412,Kacang kedelai lainnya,
0,01421,Bibit kacang tanah,
0,01422,Kacang tanah berkulit lainnya,
0,01431,Biji kapas untuk benih,
0,01432,Biji kapas,
0,01441,Biji rami,
