5,53121,Bangunan industri,"Subkelas ini meliputi:  - bangunan yang digunakan untuk kegiatan produksi dan rangkaian kegiatan  dari perusahaan industri:    * pabrik dan bengkel kerja  - bangunan pertanian yang berkaitan dengan pengolahan hasil pertanian, termasuk gudang penyimpanan hasil pengolahan pertanian (biji-bijian dan fasilitas penyimpanan lainnya   Subkelas ini tidak termasuk:  - fasilitas pertambangan, lih. 53261  - pembangkit listrik, lih. 53262  - fasilitas pengolahan kimiawi dan fasilitas terkait, lih. 53269  - failitas khusus untuk manufaktur (misalnya: pengecoran besi), lih. 53269"
5,53122,Bangunan komersial,"Subkelas ini meliputi:  - bangunan yang digunakan terutama dalam perdagangan besar (grosir) dan eceran (retail):    * pusat perbelanjaan, mall, department store, toko dan butik, indoor market, dll  - gudang  - ruang pameran  - gedung perkantoran, gedung perbankan  - bandara, stasiun kereta api atau terminal, garasi parkir dan stasiun pengisian bahan bakar umum (SPBU)"
5,53129,Bangunan bukan tempat tinggal lainnya,"Subkelas ini meliputi:  - bangunan hiburan publik seperti bioskop, teater, ruang konser, ruang dansa dan klub malam  - hotel, motel, losmen, hostel dan bangunan sejenis  - restoran  - bangunan pendidikan seperti gedung sekolah dasar dan menengah, perguruan tinggi, universitas, perpustakaan, arsip dan gedung museum  - bangunan yang berhubungan dengan kesehatan seperti rumah sakit, klinik dan sanatorium, termasuk klinik hewan  - ruangan olahraga atau instalasi rekreasi (gelanggang es, gedung olahraga, lapangan tenis indoor, ruang olahraga serbaguna, gudang/rumah/garasi perahu, ring tinju, dll)  - pusat konvensi dan kongres  - rumah ibadah  - bangunan penjara  - gedung pengadilan, gedung parlemen  - bangunan pertanian, bangunan yang berada di area pertanian yang berkaiatan dengan kegiatan pertanian bukan tempat tinggal - bangunan komunikasi (bangunan penyiaran radio dan televisi, bangunan pertukaran telepon, pusat telekomunikasi dll)  - bangunan bukan tempat tinggal yang tidak diklasifikasikan di tempat lain.   Subkelas ini tidak termasuk:  - tambang, pembangkit listrik, pabrik kimia dan fasilitas khusus lainnya untuk manufaktur, lih. 5326  - fasilitas olahraga dan rekreasi luar ruangan, lih. 53270"
5,53211,"Jalan bebas hambatan (kecuali jalan layang), jalan raya dan jalan lintas","Subkelas ini meliputi:  - jalan bebas hambatan, (kecuali jalan layang), jalan raya, jalan dan lintasan kendaraan lainnya dan jalan untuk pejalan kaki - area parkir, driveways, trotoar pejalan kaki dan jalur sepeda  - underpass (jalan melintas di bawah jalan lain) dan overpass (jalan di atas jalan) kendaraan dan pejalan kaki  - instalasi jalan untuk keselamatan dll   Subkelas ini tidak termasuk:  - jalan layang, lih. 53221  - terowongan  jalan raya, lih. 53222"
5,53212,Jalan kereta api,"Subkelas ini meliputi:  -  landasan rel kereta api jarak jauh dan komuter, jalan trem, dan sistem kereta cepat bawah tanah atau layang dalam kota - struktur jalan kereta api listrik  - sistem pengendalian dan keselamatan jalur rel kereta api - sistem kereta  yang digerakkan oleh kabel dan kereta gantung"
5,53213,Landasan pacu pesawat udara,"Subkelas ini meliputi:  - landasan pacu lapangan udara, termasuk jalur di sekitar landasan pacu (taxiway), apron dan struktur bandara terkait selain bangunan"
5,53221,Jembatan dan jalan layang bebas hambatan,"Subkelas ini meliputi:  - jembatan dan viaducts dari logam, beton atau bahan lainnya, untuk semua jenis angkutan darat dan pejalan kaki - jalan layang bebas hambatan untuk lalu lintas kendaraan bermotor"
5,53222,Terowongan,"Subkelas ini meliputi:  - terowongan jalan raya, jalan dan kereta api  - terowongan dan konstruksi bawah tanah untuk lalu lintas kereta api bawah tanah   Subkelas ini tidak termasuk:  - underpass kendaraan dan pejalan kaki, lih. 53211  - jalur kereta bawah tanah, lihat 53212  - terowongan yang terkait dengan operasi pertambangan, lih. 53261"
5,53231,"Akuaduk dan saluran penyediaan air lainnya, kecuali pipa saluran (pipeline)","Subkelas ini meliputi:  - akuaduk, pipa air dan jalan air sejenis yang dirancang untuk menyalurkan air untuk tujuan pasokan air, kecuali pipa saluran  Subkelas ini tidak termasuk:  - saluran air untuk irigasi atau pengendalian banjir, lih. 53234  - pipa saluran jarak jauh, lih. 53241  - pipa saluran lokal, lih. 53251"
5,53232,"Pelabuhan, jalan air dan fasilitas terkait","Subkelas ini meliputi:  - pelabuhan (termasuk dasar dan salurannya), pemecah gelombang, dermaga quays, dermaga piers, dermaga jetties, dermaga docks, dermaga wharves dan bangunan sejenis  - riverworks dan konstruksi kanal untuk lalu lintas angkutan air  - pintu air kanal, pintu air floodgates, pintu air sluices, lift (lifts), dok kering, tempat peluncuran kapal, waduk dan struktur hidromekanik lainnya"
