0,1213,Bunga kol dan brokoli
0,1214,Selada dan chicory
0,1215,Bayam
0,1216,Artichokes
0,1219,Sayuran yang diambil batang atau daunnya lainnya
0,1221,Semangka
0,1229,Cantaloupe dan melon lainnya
0,1231,"Cabe dan paprika, hijau (jenis capsicum)"
0,1232,Timun dan ketimun acar
0,1233,Terong
0,1234,Tomat
0,1235,"Waluh, laby dan labu"
0,1239,Buah yang digunakan untuk sayur lainnya
0,1241,Kacang-kacangan hijau
0,1242,"Kacang kapri, hijau"
0,1249,Sayuran polongan hijau lainnya
0,1251,Wortel dan lobak cina
0,1252,Bawang putih
0,1253,Bawang bombay
0,1254,Bawang bakung/perai dan sayuran sejenisnya
0,1259,"Sayuran yang diambil akar, umbi dan bonggolnya, ytdl"
0,1260,"Biji sayuran, kecuali biji bit"
0,1270,Jamur dan cendawan tanah
0,1290,"Sayuran segar, Ytdl"
0,1311,Alpukat
0,1312,Pisang
0,1313,Plantain dan lainnya
0,1314,Kurma
0,1315,Buah ara
0,1316,Mangga
0,1317,Pepaya
0,1318,Nanas
0,1319,Buah-buahan tropis dan subtropis lainnya
0,1321,Jeruk pamelo dan grapefruit
0,1322,Jeruk lemon dan limau
0,1323,Orange
0,1324,"Tangerin, mandarin, clementine"
0,1329,"Buah jeruk lainnya, Ytdl"
0,1330,Buah anggur segar
0,1341,Currant dan gooseberry
0,1342,Buah kiwi
0,1343,"Buah rapsberries, blackberries, mulberries dan loganberries"
0,1344,Buah stroberi
0,1349,"Berries lainnya, buah dari genus vaccinium, ytdl"
0,1351,Buah apel
0,1352,Buah pear dan quince
0,1353,Buah aprikot
0,1354,Buah ceri
0,1355,Buah persik dan nektarin
0,1356,Plum dan sloe
0,1359,"Buah pome dan buah batu lainnya, Ytdl"
0,1360,Biji buah
0,1371,"Almond, berkulit"
0,1372,"Kacang mete, berkulit"
0,1373,"Chestnut, berkulit"
0,1374,"Hazelnut, berkulit"
0,1375,"Pistachio, berkulit"
0,1376,"Walnut, berkulit"
0,1377,"Kacang Brazil, berkulit"
0,1379,"Kacang lainnya (kecuali kacang yang tumbuh liar yang dapat dimakan dan kacang tanah), berkulit"
0,1391,Kacang locust (carobs)
0,1399,"Buah-buahan lainnya, Ytdl"
0,1411,Bibit kacang kedelai
0,1412,Kacang kedelai lainnya
0,1421,Bibit kacang tanah
0,1422,Kacang tanah berkulit lainnya
0,1431,Biji kapas untuk benih
0,1432,Biji kapas
0,1441,Biji rami
0,1442,Biji mustard
0,1443,Biji lobak atau colza
0,1444,Biji wijen
0,1445,Biji bunga matahari
0,1446,Biji safflower
0,1449,"Biji-bijian yang mengandung minyak lainnya, Ytdl"
0,1450,Buah zaitun
0,1460,"Buah kelapa, berkulit"
0,1491,Buah dan kernel kelapa sawit
0,1499,"Buah yang mengandung minyak lainnya, Ytdl"
0,1510,Kentang
0,1591,Ubi jalar
0,1592,Ubi kayu
0,1593,Yam
0,1599,"Akar-akaran dan umbi-umbian lainnya yang dapat dimakan dengan karbohidrat atau berinulin tinggi, Ytdl"
0,1610,"Kopi, hijau"
0,1620,Daun teh
0,1630,Daun mate
0,1640,Kakao
0,1651,"Lada, mentah"
0,1652,"Cabe dan paprika, kering, mentah"
0,1653,"Biji pala, bunga pala, kapulaga, mentah"
0,1654,"Adas, badian, ketumbar, jinten hitam, caraway, adas pedas dan buah juniper, mentah"
0,1655,"Kayu manis (canella), mentah"
0,1656,"Cengkeh (tangkai utuh), mentah"
0,1657,"Jahe, mentah"
0,1658,"Panili, mentah"
0,1659,Kerucut buah hop
0,1690,"Tanaman stimulan, rempah-rempah dan aromatik, Ytdl"
0,1701,"Kacang, kering"
0,1702,"Kacang babi, kering"
0,1703,"Chick peas, kering"
0,1704,"Miju-miju, kering"
0,1705,"Kacang kapri, kering"
0,1709,"Pulse, Ytdl"
0,1801,Bit gula
0,1802,Tebu
0,1803,Biji bit gula
0,1809,"Tanaman lain yang menghasilkan gula, Ytdl"
0,1911,Jagung untuk pakan dan makanan ternak yang disimpan di ruang kedap udara
0,1912,Tanaman alfalfa untuk pakan dan makanan ternak yang disimpan di ruang kedap udara
0,1913,"Jerami, sekam dari serealia, yang belum diolah, ditumbuk, dipadatkan, atau dalam bentuk pellet"
0,1919,"Produk makanan ternak, Ytdl"
0,1921,"Kapas, dipisahkan ataupun tidak dipisahkan dari biji kapas"
0,1922,"Goni, kenaf dan serat tekstil kulit pohon lainnya, mentah atau diproses tanpa dipintal, kecuali batang lenan, henep asli dan rami"
0,1929,"Tanaman serat lainnya, kering, ytdl"
0,1930,"Tanaman dan bagiannya yang terutama dipakai dalam pembuatan wewangian, dalam farmasi atau untuk insektisida, fungisida atau untuk tujuan yang semacam itu"
0,1940,Bibit bit (tidak termasuk biji gula bit) dan bibit dari tanaman makanan ternak
0,1950,"Karet alam dalam bentuk asalnya atau lempengan, lembaran atau strip"
0,1961,"Tanaman hidup, umbi-umbian dan akar-akaran, potongan dan cangkokan, sulur jamur"
0,1962,"Bunga dan kuncup bunga potong termasuk karangan bunga, rangkaian bunga, bunga keranjang dan barang sejenisnya"
